"Time (EpMin)","Strand Name","Range (km)"
0,"Satellite/GEO2 To Satellite/GEO3",73030
5,"Satellite/GEO2 To Satellite/GEO3",73030
10,"Satellite/GEO2 To Satellite/GEO3",73030
15,"Satellite/GEO2 To Satellite/GEO3",73030
20,"Satellite/GEO2 To Satellite/GEO3",73030
25,"Satellite/GEO2 To Satellite/GEO3",73030
30,"Satellite/GEO2 To Satellite/GEO3",73030
35,"Satellite/GEO2 To Satellite/GEO3",73030
40,"Satellite/GEO2 To Satellite/GEO3",73030
45,"Satellite/GEO2 To Satellite/GEO3",73030
50,"Satellite/GEO2 To Satellite/GEO3",73030
55,"Satellite/GEO2 To Satellite/GEO3",73030
60,"Satellite/GEO2 To Satellite/GEO3",73030
65,"Satellite/GEO2 To Satellite/GEO3",73030
70,"Satellite/GEO2 To Satellite/GEO3",73030
75,"Satellite/GEO2 To Satellite/GEO3",73030
80,"Satellite/GEO2 To Satellite/GEO3",73030
85,"Satellite/GEO2 To Satellite/GEO3",73030
90,"Satellite/GEO2 To Satellite/GEO3",73030
95,"Satellite/GEO2 To Satellite/GEO3",73030
100,"Satellite/GEO2 To Satellite/GEO3",73030
105,"Satellite/GEO2 To Satellite/GEO3",73030
110,"Satellite/GEO2 To Satellite/GEO3",73030
115,"Satellite/GEO2 To Satellite/GEO3",73030
120,"Satellite/GEO2 To Satellite/GEO3",73030
125,"Satellite/GEO2 To Satellite/GEO3",73030
130,"Satellite/GEO2 To Satellite/GEO3",73030
135,"Satellite/GEO2 To Satellite/GEO3",73030
140,"Satellite/GEO2 To Satellite/GEO3",73030
145,"Satellite/GEO2 To Satellite/GEO3",73030
150,"Satellite/GEO2 To Satellite/GEO3",73030
155,"Satellite/GEO2 To Satellite/GEO3",73030
160,"Satellite/GEO2 To Satellite/GEO3",73030
165,"Satellite/GEO2 To Satellite/GEO3",73030
170,"Satellite/GEO2 To Satellite/GEO3",73030
175,"Satellite/GEO2 To Satellite/GEO3",73030
180,"Satellite/GEO2 To Satellite/GEO3",73030
185,"Satellite/GEO2 To Satellite/GEO3",73030
190,"Satellite/GEO2 To Satellite/GEO3",73030
195,"Satellite/GEO2 To Satellite/GEO3",73030
200,"Satellite/GEO2 To Satellite/GEO3",73030
205,"Satellite/GEO2 To Satellite/GEO3",73030
210,"Satellite/GEO2 To Satellite/GEO3",73030
215,"Satellite/GEO2 To Satellite/GEO3",73030
220,"Satellite/GEO2 To Satellite/GEO3",73030
225,"Satellite/GEO2 To Satellite/GEO3",73030
230,"Satellite/GEO2 To Satellite/GEO3",73030
235,"Satellite/GEO2 To Satellite/GEO3",73030
240,"Satellite/GEO2 To Satellite/GEO3",73030
245,"Satellite/GEO2 To Satellite/GEO3",73030
250,"Satellite/GEO2 To Satellite/GEO3",73030
255,"Satellite/GEO2 To Satellite/GEO3",73030
260,"Satellite/GEO2 To Satellite/GEO3",73030
265,"Satellite/GEO2 To Satellite/GEO3",73030
270,"Satellite/GEO2 To Satellite/GEO3",73030
275,"Satellite/GEO2 To Satellite/GEO3",73030
280,"Satellite/GEO2 To Satellite/GEO3",73030
285,"Satellite/GEO2 To Satellite/GEO3",73030
290,"Satellite/GEO2 To Satellite/GEO3",73030
295,"Satellite/GEO2 To Satellite/GEO3",73030
300,"Satellite/GEO2 To Satellite/GEO3",73030
305,"Satellite/GEO2 To Satellite/GEO3",73030
310,"Satellite/GEO2 To Satellite/GEO3",73030
315,"Satellite/GEO2 To Satellite/GEO3",73030
320,"Satellite/GEO2 To Satellite/GEO3",73030
325,"Satellite/GEO2 To Satellite/GEO3",73030
330,"Satellite/GEO2 To Satellite/GEO3",73030
335,"Satellite/GEO2 To Satellite/GEO3",73030
340,"Satellite/GEO2 To Satellite/GEO3",73030
345,"Satellite/GEO2 To Satellite/GEO3",73030
350,"Satellite/GEO2 To Satellite/GEO3",73030
355,"Satellite/GEO2 To Satellite/GEO3",73030
360,"Satellite/GEO2 To Satellite/GEO3",73030
365,"Satellite/GEO2 To Satellite/GEO3",73030
370,"Satellite/GEO2 To Satellite/GEO3",73030
375,"Satellite/GEO2 To Satellite/GEO3",73030
380,"Satellite/GEO2 To Satellite/GEO3",73030
385,"Satellite/GEO2 To Satellite/GEO3",73030
390,"Satellite/GEO2 To Satellite/GEO3",73030
395,"Satellite/GEO2 To Satellite/GEO3",73030
400,"Satellite/GEO2 To Satellite/GEO3",73030
405,"Satellite/GEO2 To Satellite/GEO3",73030
410,"Satellite/GEO2 To Satellite/GEO3",73030
415,"Satellite/GEO2 To Satellite/GEO3",73030
420,"Satellite/GEO2 To Satellite/GEO3",73030
425,"Satellite/GEO2 To Satellite/GEO3",73030
430,"Satellite/GEO2 To Satellite/GEO3",73030
435,"Satellite/GEO2 To Satellite/GEO3",73030
440,"Satellite/GEO2 To Satellite/GEO3",73030
445,"Satellite/GEO2 To Satellite/GEO3",73030
450,"Satellite/GEO2 To Satellite/GEO3",73030
455,"Satellite/GEO2 To Satellite/GEO3",73030
460,"Satellite/GEO2 To Satellite/GEO3",73030
465,"Satellite/GEO2 To Satellite/GEO3",73030
470,"Satellite/GEO2 To Satellite/GEO3",73030
475,"Satellite/GEO2 To Satellite/GEO3",73030
480,"Satellite/GEO2 To Satellite/GEO3",73030
485,"Satellite/GEO2 To Satellite/GEO3",73030
490,"Satellite/GEO2 To Satellite/GEO3",73030
495,"Satellite/GEO2 To Satellite/GEO3",73030
500,"Satellite/GEO2 To Satellite/GEO3",73030
505,"Satellite/GEO2 To Satellite/GEO3",73030
510,"Satellite/GEO2 To Satellite/GEO3",73030
515,"Satellite/GEO2 To Satellite/GEO3",73030
520,"Satellite/GEO2 To Satellite/GEO3",73030
525,"Satellite/GEO2 To Satellite/GEO3",73030
530,"Satellite/GEO2 To Satellite/GEO3",73030
535,"Satellite/GEO2 To Satellite/GEO3",73030
